id_registro,ingresos_mensuales,egresos_mensuales,nivel_endeudamiento,capacidad_pago,tipo_credito,monto_solicitado,plazo_meses,antiguedad_laboral_anios,mora
70,756.57,209.67,18.08,546.9,Vivienda,26013.81,240,3.5,1
71,903.76,369.31,53.85,534.45,Consumo,3860.43,36,2.2,0
72,350.0,292.4,69.05,57.6,Consumo,1088.87,24,2.4,1
73,1667.79,922.92,2.0,744.87,Microcrédito,8687.76,12,2.6,0
74,736.5,411.08,52.71,325.42,Consumo,1676.35,36,9.9,0
75,539.76,459.75,52.67,80.01,Microcrédito,2532.48,36,1.3,0
76,768.54,470.68,71.37,297.86,Consumo,3405.76,36,2.7,1
77,1004.68,645.64,81.79,359.04,Microcrédito,2862.22,6,3.6,0
78,829.34,555.31,7.11,274.03,Microcrédito,3565.03,6,6.2,0
79,457.17,272.4,31.63,184.77,Consumo,969.84,18,5.3,0
80,1643.14,1097.43,41.6,545.71,Microcrédito,4338.41,18,4.5,0
81,775.13,562.97,2.18,212.16,Vivienda,24202.13,180,5.9,0
82,670.83,411.36,25.4,259.47,Microcrédito,942.98,6,2.5,0
83,922.33,765.77,28.28,156.56,Microcrédito,3458.58,18,5.7,0
84,959.69,590.04,35.39,369.65,Consumo,2642.37,24,4.4,0
85,1156.17,250.56,54.4,905.61,Microcrédito,2248.94,24,6.8,0
86,2196.12,1383.83,31.7,812.29,Microcrédito,5459.44,6,10.5,0
87,354.89,195.17,65.71,159.72,Vivienda,4692.38,60,10.7,0
88,873.23,453.17,21.29,420.06,Microcrédito,4347.67,12,6.4,0
89,674.07,502.62,63.55,171.45,Consumo,1988.01,48,2.3,1
90,885.32,515.58,31.57,369.74,Consumo,2724.61,6,4.1,0
91,1171.97,349.21,15.33,822.76,Consumo,3052.94,12,1.4,0
92,1240.6,649.8,20.01,590.8,Comercial,4984.2,36,1.1,0
93,580.41,338.53,50.95,241.88,Consumo,1323.21,36,0.7,0
94,544.56,291.11,2.0,253.45,Microcrédito,852.43,24,5.2,0
95,1194.9,578.36,58.86,616.54,Microcrédito,7718.51,24,1.6,0
96,1152.49,707.62,24.07,444.87,Microcrédito,3771.31,36,1.4,0
97,792.85,753.21,57.05,39.64,Vivienda,18866.56,60,9.2,0
98,1337.73,1204.99,2.75,132.74,Consumo,2100.5,12,7.6,0
99,634.83,364.91,21.21,269.92,Consumo,1324.26,6,2.5,0
100,593.5,245.65,19.09,347.85,Consumo,2467.85,12,9.8,0
101,756.02,385.21,43.62,370.81,Microcrédito,4685.5,18,5.0,0
102,513.57,242.59,17.72,270.98,Microcrédito,3139.46,24,5.9,0
103,499.69,338.25,36.67,161.44,Consumo,1004.17,12,3.6,0
104,1022.18,516.36,40.42,505.82,Microcrédito,6578.18,24,8.5,0
105,2471.7,1359.98,48.13,1111.72,Consumo,3344.22,24,11.5,0
106,1134.55,558.04,55.68,576.51,Consumo,1851.13,36,9.7,0
107,2081.59,1876.87,22.95,204.72,Comercial,15780.42,60,2.0,0
108,1000.34,810.25,44.05,190.09,Consumo,1578.37,36,2.0,0
109,975.97,469.79,50.48,506.18,Microcrédito,6797.03,18,6.6,0
110,469.42,288.57,30.31,180.85,Vivienda,9376.21,84,3.8,1
111,1772.95,709.02,35.55,1063.93,Microcrédito,8740.2,6,2.2,0
112,1325.9,803.8,76.33,522.1,Microcrédito,4509.83,12,4.8,0
113,2056.54,1312.73,27.2,743.81,Microcrédito,2507.38,36,2.6,1
114,2026.4,1417.26,40.91,609.14,Consumo,2152.75,36,1.8,0
115,1111.02,326.96,2.0,784.06,Consumo,4979.25,18,1.2,0
116,1418.76,415.65,25.82,1003.11,Microcrédito,3544.85,12,3.2,0
117,616.63,129.18,28.39,487.45,Microcrédito,2709.28,18,9.6,0
118,1113.13,373.91,2.0,739.22,Microcrédito,6908.48,24,13.7,0
119,626.29,306.67,9.38,319.62,Consumo,2153.27,18,6.8,0
120,714.74,517.56,34.22,197.18,Consumo,1932.73,12,6.1,0
121,1351.53,851.81,57.77,499.72,Vivienda,40672.18,180,3.0,0
122,862.69,442.96,32.17,419.73,Vivienda,24374.5,84,3.7,0
123,1563.9,792.9,25.26,771.0,Microcrédito,5075.33,12,6.9,0
124,430.75,219.3,67.4,211.45,Consumo,1541.69,48,6.0,0
125,634.15,316.33,32.31,317.82,Consumo,1266.48,6,4.8,0
126,906.51,259.28,11.61,647.23,Comercial,2382.97,12,5.0,0
127,2396.17,1050.58,21.41,1345.59,Microcrédito,5166.18,6,4.1,0
128,1453.89,299.87,27.01,1154.02,Consumo,4425.38,36,4.4,0
129,1141.32,824.0,21.22,317.32,Microcrédito,5341.8,12,3.9,0
130,718.0,436.0,20.35,282.0,Microcrédito,5012.82,36,1.8,0
131,597.48,342.44,23.47,255.04,Consumo,2059.08,12,3.1,0
132,1221.05,1070.68,45.9,150.37,Consumo,2334.5,12,16.5,0
133,1016.64,447.13,22.91,569.51,Consumo,1258.44,48,2.7,0
134,1150.62,391.93,12.82,758.69,Microcrédito,3612.89,18,6.4,0
135,432.96,246.45,37.56,186.51,Microcrédito,682.62,36,8.9,0
136,693.87,251.62,32.72,442.25,Consumo,3439.67,24,4.6,0
137,1724.65,1574.37,24.84,150.28,Consumo,8535.04,24,0.7,1
138,737.63,448.49,45.07,289.14,Consumo,2153.39,12,1.7,0
139,929.45,456.91,50.97,472.54,Consumo,4112.46,36,3.1,0
140,1415.95,727.24,80.96,688.71,Microcrédito,5567.41,18,9.4,0
141,1274.66,891.28,15.93,383.38,Consumo,4989.31,48,6.5,0
142,1695.54,1007.92,36.89,687.62,Consumo,7495.85,24,1.4,0
143,633.64,291.73,20.6,341.91,Consumo,2960.56,48,6.4,0
144,1748.78,1166.42,37.81,582.36,Consumo,6303.12,36,1.1,0
145,544.49,220.28,43.85,324.21,Consumo,2530.33,36,2.2,0
146,1867.58,954.49,23.03,913.09,Consumo,4896.07,12,0.3,0
147,799.27,431.81,55.08,367.46,Consumo,3592.27,36,5.1,0
148,1194.26,705.55,33.12,488.71,Consumo,1742.73,6,1.8,0
149,1329.5,584.52,18.83,744.98,Microcrédito,6534.22,12,4.6,0
150,942.43,385.46,57.31,556.97,Microcrédito,2453.08,36,9.1,0
151,1005.43,677.89,53.99,327.54,Vivienda,22358.94,60,2.4,0
152,693.59,324.19,34.79,369.4,Vivienda,14283.72,180,1.4,0
153,551.82,364.71,9.06,187.11,Microcrédito,3808.98,12,4.3,0
154,474.71,311.51,40.33,163.2,Consumo,1788.98,12,9.3,0
155,350.0,169.62,13.1,180.38,Consumo,610.89,18,7.9,0
156,1634.26,1348.36,50.74,285.9,Comercial,15450.83,60,4.3,0
157,879.8,636.76,34.35,243.04,Consumo,3472.96,18,3.6,0
158,621.16,211.8,38.85,409.36,Consumo,2519.37,24,6.7,0
159,962.65,691.55,48.71,271.1,Consumo,3243.93,18,1.7,0
160,2254.02,1359.72,10.34,894.3,Vivienda,60000.0,84,7.7,0
161,486.54,137.27,36.81,349.27,Consumo,2427.69,6,7.1,0
162,2152.18,1413.8,33.18,738.38,Microcrédito,4835.39,24,2.8,0
163,1238.63,222.95,66.73,1015.68,Vivienda,40915.73,240,3.3,0
164,2046.15,1007.51,19.23,1038.64,Consumo,8780.17,12,5.7,0
165,2097.99,969.23,22.28,1128.76,Microcrédito,4792.4,12,6.8,0
166,652.94,219.1,47.2,433.84,Consumo,864.3,12,0.6,0
167,350.0,97.83,63.01,252.17,Consumo,682.86,36,3.5,0
168,1130.6,377.07,36.72,753.53,Consumo,5124.14,36,0.3,0
169,956.11,488.7,50.85,467.41,Microcrédito,4911.32,18,7.4,0
170,1318.5,964.35,35.9,354.15,Comercial,8514.49,48,4.3,1
171,542.42,249.2,40.16,293.22,Microcrédito,2709.93,12,4.4,0
172,523.46,153.95,32.7,369.51,Microcrédito,1718.11,6,6.1,0
173,840.37,422.59,3.53,417.78,Microcrédito,1120.5,12,5.4,0
174,1179.68,1120.7,57.46,58.98,Microcrédito,5219.86,12,1.5,0
175,995.4,276.54,22.46,718.86,Consumo,2968.96,24,2.0,0
176,619.69,500.18,45.33,119.51,Consumo,1606.23,6,2.0,0
177,457.07,287.47,59.77,169.6,Consumo,2027.2,18,2.8,0
178,1080.24,959.27,58.52,120.97,Microcrédito,7304.57,6,0.1,0
179,1104.4,457.66,27.29,646.74,Comercial,11171.85,12,8.3,0
180,941.95,692.04,40.53,249.91,Consumo,2460.97,24,3.2,0
181,1088.37,796.26,39.7,292.11,Consumo,4398.95,18,7.0,0
182,905.3,441.1,55.77,464.2,Consumo,2314.36,48,1.6,0
183,763.84,468.38,53.58,295.46,Vivienda,25508.15,120,1.9,1
184,443.45,345.03,32.52,98.42,Consumo,1958.12,18,6.4,0
185,822.31,408.15,31.65,414.16,Consumo,998.76,24,1.9,0
186,678.14,493.36,20.31,184.78,Vivienda,7733.85,120,4.5,0
187,1342.04,587.03,51.06,755.01,Comercial,4206.36,24,3.3,0
188,784.51,398.57,37.15,385.94,Consumo,3202.25,24,2.1,0
189,659.06,411.29,61.15,247.77,Microcrédito,3269.51,36,2.2,0
190,1053.62,668.23,27.07,385.39,Microcrédito,4136.27,24,3.6,0
191,876.17,438.63,51.79,437.54,Vivienda,26894.11,180,4.1,1
192,1289.85,375.11,32.34,914.74,Vivienda,42085.77,180,17.8,0
193,423.54,191.98,52.28,231.56,Comercial,2091.2,36,3.6,0
194,470.53,114.11,20.32,356.42,Consumo,1086.66,36,5.2,0
195,554.97,303.9,2.0,251.07,Comercial,1307.21,24,3.6,0
196,1069.64,798.9,52.1,270.74,Microcrédito,6094.29,24,2.5,1
197,1686.08,1122.65,17.11,563.43,Consumo,2831.01,36,2.6,0
198,676.17,393.22,51.65,282.95,Microcrédito,2103.76,6,2.5,0
199,978.81,491.81,8.93,487.0,Microcrédito,2850.15,36,7.5,0
200,985.86,391.34,37.92,594.52,Consumo,4288.94,36,4.5,0
201,1255.94,758.98,22.61,496.96,Consumo,2347.26,36,5.9,0
202,393.2,200.88,27.8,192.32,Consumo,870.49,48,4.8,0
203,583.79,362.36,43.22,221.43,Microcrédito,3359.52,24,1.3,0
204,1604.03,609.44,8.65,994.59,Microcrédito,5564.05,18,2.4,0
205,1264.66,608.1,41.86,656.56,Consumo,3826.33,18,11.8,0
206,1828.25,1282.07,72.67,546.18,Microcrédito,2824.14,18,1.5,0
207,1367.05,955.35,23.09,411.7,Microcrédito,8932.69,24,2.2,0
208,1146.59,591.84,17.09,554.75,Microcrédito,6964.44,18,5.1,0
209,812.07,211.22,58.43,600.85,Microcrédito,2289.64,36,9.1,0
210,379.15,360.19,40.89,18.96,Microcrédito,1878.72,36,2.9,0
211,527.25,246.47,56.47,280.78,Consumo,1383.11,6,8.4,0
212,428.01,258.12,53.05,169.89,Consumo,1065.64,48,4.7,0
213,1456.12,695.17,21.53,760.95,Vivienda,18594.58,120,0.3,0
214,726.57,412.33,43.22,314.24,Consumo,2979.83,24,2.6,0
215,399.85,71.97,15.92,327.88,Consumo,1352.54,36,0.8,0
216,758.68,624.2,41.65,134.48,Consumo,1442.81,18,8.5,0
217,579.4,228.17,36.24,351.23,Consumo,2645.64,36,2.4,0
218,686.64,629.87,41.98,56.77,Comercial,1498.48,12,3.7,1
219,534.84,369.83,18.16,165.01,Microcrédito,1593.11,36,2.7,1
220,474.1,305.91,6.04,168.19,Microcrédito,1497.2,12,1.4,0
221,579.37,397.32,30.09,182.05,Consumo,1009.45,12,1.5,0
222,1122.99,737.89,84.29,385.1,Microcrédito,2928.82,36,1.6,1
223,529.79,130.99,7.18,398.8,Microcrédito,3410.12,36,5.8,0
224,774.25,453.48,37.06,320.77,Vivienda,18096.62,84,2.4,0
225,977.08,388.39,12.03,588.69,Consumo,1622.68,24,4.9,0
226,1246.92,856.19,32.03,390.73,Consumo,5390.23,18,1.6,0
227,602.04,301.5,25.56,300.54,Consumo,947.35,36,2.2,0
228,523.15,234.89,27.13,288.26,Consumo,625.5,48,3.1,0
229,795.72,578.67,66.78,217.05,Consumo,2449.7,18,0.3,0
230,1633.17,1077.61,18.31,555.56,Consumo,5272.86,24,10.5,0
231,853.59,513.24,62.62,340.35,Consumo,3060.01,12,4.7,1
232,433.02,277.75,38.56,155.27,Microcrédito,1033.74,36,1.6,0
233,1326.43,695.08,2.0,631.35,Consumo,5675.67,48,6.0,0
234,1163.84,427.9,34.65,735.94,Consumo,5145.06,6,1.5,0
235,865.21,274.6,2.0,590.61,Microcrédito,4714.07,24,2.7,0
236,1087.49,642.54,39.9,444.95,Microcrédito,4110.49,18,10.9,0
237,2134.6,743.62,23.72,1390.98,Vivienda,49643.47,180,6.5,0
238,1084.9,792.22,45.07,292.68,Consumo,2593.39,48,2.2,0
239,1680.89,362.97,19.08,1317.92,Consumo,3322.78,18,1.2,0
240,1089.38,473.11,45.85,616.27,Consumo,4344.05,18,11.9,0
241,927.69,576.39,4.73,351.3,Microcrédito,4999.09,36,2.9,0
242,1007.17,574.98,19.95,432.19,Microcrédito,3213.18,24,2.8,0
243,618.23,356.16,51.17,262.07,Consumo,1589.32,36,4.3,0
244,621.14,247.26,42.01,373.88,Microcrédito,2244.71,6,5.1,0
245,2053.37,1100.9,24.1,952.47,Comercial,10135.83,60,7.2,0
246,930.27,167.45,47.43,762.82,Vivienda,25547.6,84,2.8,0
247,1079.75,762.02,28.75,317.73,Consumo,3921.36,24,6.5,0
248,1143.7,774.49,54.12,369.21,Microcrédito,2793.65,18,0.7,1
249,949.87,384.07,50.14,565.8,Vivienda,9593.95,180,7.1,0
250,438.55,192.6,14.63,245.95,Microcrédito,688.73,18,3.2,0
251,3053.52,1166.73,9.74,1886.79,Consumo,7028.41,6,3.1,0
252,980.97,472.21,26.91,508.76,Consumo,2953.45,6,4.5,0
253,410.45,219.2,32.88,191.25,Vivienda,3293.23,120,10.9,0
254,1456.75,660.65,18.54,796.1,Comercial,12397.35,36,6.0,0
255,857.08,385.13,10.39,471.95,Consumo,3150.19,24,1.8,0
256,567.15,294.07,18.63,273.08,Vivienda,13992.82,180,7.3,0
257,1845.69,1096.97,25.74,748.72,Microcrédito,10330.73,36,4.8,0
258,1705.28,1221.84,37.09,483.44,Microcrédito,2602.26,18,2.2,0
259,1067.9,781.06,61.73,286.84,Comercial,8793.37,12,1.6,0
260,1085.34,612.04,46.86,473.3,Consumo,1917.84,24,3.2,0
261,847.47,582.93,26.62,264.54,Consumo,2511.78,6,2.5,0
262,1269.43,632.36,23.65,637.07,Microcrédito,8612.24,6,7.2,0
263,1927.35,604.43,11.37,1322.92,Consumo,4241.01,18,13.2,0
264,357.42,254.93,43.25,102.49,Microcrédito,760.93,12,2.5,0
265,1031.98,423.39,2.17,608.59,Microcrédito,4030.36,6,7.5,0
266,1018.02,484.89,45.74,533.13,Microcrédito,1443.34,24,5.3,0
267,1008.25,480.44,38.82,527.81,Consumo,1884.86,18,4.9,0
268,601.19,277.59,31.65,323.6,Microcrédito,1363.8,18,3.7,0
269,1540.4,632.78,15.61,907.62,Vivienda,18053.12,180,3.3,0
270,1177.07,595.06,53.3,582.01,Vivienda,37945.71,240,9.2,0
271,539.48,323.88,90.86,215.6,Consumo,1523.73,24,4.6,1
272,1513.61,868.33,30.0,645.28,Comercial,4813.22,24,5.0,0
273,1146.33,585.32,2.0,561.01,Microcrédito,5655.62,24,6.7,0
274,1072.17,516.98,51.45,555.19,Microcrédito,7370.85,24,9.9,0
275,623.36,331.8,33.6,291.56,Consumo,1377.21,12,0.9,0
276,948.45,541.4,31.04,407.05,Microcrédito,5922.83,24,5.8,0
277,2963.08,1847.16,48.02,1115.92,Microcrédito,16458.49,36,5.3,0
278,654.28,339.21,39.22,315.07,Microcrédito,3798.21,36,8.7,0
279,805.67,505.19,7.29,300.48,Consumo,2800.08,18,4.2,0
280,996.57,692.86,29.8,303.71,Microcrédito,2769.14,24,6.2,0
281,2554.82,999.41,25.7,1555.41,Microcrédito,12437.57,12,11.4,0
282,1419.73,855.5,40.13,564.23,Microcrédito,3525.2,18,4.7,0
283,1160.49,849.26,20.66,311.23,Consumo,3432.09,12,5.5,0
284,765.93,282.03,21.06,483.9,Consumo,2886.42,6,5.1,0
285,1018.41,352.4,23.77,666.01,Consumo,3281.28,36,9.4,0
286,820.39,418.68,11.92,401.71,Consumo,2855.25,6,14.4,0
287,1547.0,768.12,13.15,778.88,Vivienda,14084.48,240,2.8,0
288,1032.61,676.08,26.94,356.53,Consumo,1724.32,24,5.9,0
289,817.79,510.59,25.86,307.2,Vivienda,27446.16,120,7.6,0
290,728.29,442.16,27.42,286.13,Consumo,873.4,48,6.3,0
291,484.94,231.36,69.0,253.58,Consumo,1170.8,48,5.2,0
292,1142.62,557.87,37.08,584.75,Consumo,3441.85,24,2.5,0
293,387.01,107.39,45.45,279.62,Microcrédito,2308.32,36,7.6,0
294,803.14,451.2,51.13,351.94,Microcrédito,2732.02,24,7.5,0
295,402.09,290.62,81.73,111.47,Microcrédito,1082.61,18,5.1,0
296,665.09,262.77,15.57,402.32,Consumo,3172.98,36,1.9,0
297,1150.74,474.81,42.57,675.93,Consumo,1882.79,36,1.5,0
298,1087.88,765.34,24.42,322.54,Consumo,4155.74,48,4.4,0
299,683.8,457.99,35.81,225.81,Consumo,2635.73,12,4.0,0
300,949.03,422.85,16.8,526.18,Microcrédito,4038.09,36,1.9,0
301,845.74,611.66,44.48,234.08,Vivienda,18932.31,180,12.3,0
302,861.38,521.74,55.17,339.64,Consumo,3510.02,18,2.6,0
303,1944.55,1147.13,49.08,797.42,Consumo,8752.27,36,1.4,0
304,776.69,737.86,37.61,38.83,Consumo,1367.79,6,0.7,1
305,622.97,213.75,9.04,409.22,Vivienda,9622.23,84,1.5,0
306,1950.68,805.7,7.07,1144.98,Consumo,9364.54,12,2.9,0
307,411.81,269.2,14.03,142.61,Comercial,4215.84,60,2.3,0
308,1546.97,1119.86,39.09,427.11,Consumo,3290.41,6,13.1,0
309,854.45,544.55,40.9,309.9,Vivienda,13499.24,60,2.2,0
310,740.25,458.55,31.57,281.7,Microcrédito,1639.35,6,0.7,0
311,2145.29,1290.29,54.28,855.0,Consumo,8885.03,24,1.4,0
312,1257.75,1053.64,52.98,204.11,Microcrédito,7334.85,6,4.2,0
313,727.7,453.65,24.56,274.05,Vivienda,11655.08,120,6.7,0
314,1314.09,449.6,16.08,864.49,Consumo,5077.39,48,3.3,1
315,1489.55,896.49,29.03,593.06,Microcrédito,2938.85,36,5.3,0
316,1937.2,972.49,20.91,964.71,Microcrédito,2979.64,24,3.3,0
317,632.82,386.76,54.6,246.06,Consumo,2064.99,12,4.9,0
318,622.97,387.26,50.49,235.71,Consumo,1853.1,12,2.6,0
319,750.3,362.39,35.52,387.91,Consumo,2923.78,36,0.3,0
320,743.69,592.57,33.59,151.12,Consumo,1327.88,18,2.1,0
321,828.32,546.45,18.81,281.87,Consumo,3229.77,6,3.2,0
322,651.62,555.15,41.44,96.47,Microcrédito,1840.82,18,5.7,0
323,814.21,525.94,39.26,288.27,Consumo,984.14,36,0.1,0
324,819.06,421.62,41.35,397.44,Microcrédito,4610.0,18,1.8,0
325,1391.2,694.17,10.25,697.03,Microcrédito,2172.13,6,4.2,0
326,2104.57,1455.2,76.18,649.37,Microcrédito,12526.63,24,2.7,0
327,2421.94,1274.27,47.56,1147.67,Consumo,3092.69,24,4.9,0
328,2160.3,1401.08,48.64,759.22,Microcrédito,6403.97,24,1.8,1
329,669.34,497.53,25.58,171.81,Microcrédito,3244.48,36,11.0,0
330,350.0,213.55,33.6,136.45,Consumo,622.87,12,1.0,0
331,617.45,238.77,2.0,378.68,Comercial,2025.28,48,1.7,0
332,1029.39,551.6,11.15,477.79,Consumo,4313.53,48,0.5,0
333,1108.32,495.01,51.12,613.31,Microcrédito,6996.04,24,2.5,0
334,1560.28,1123.05,64.86,437.23,Vivienda,22021.13,84,2.8,0
335,959.96,568.92,39.23,391.04,Consumo,3438.18,12,0.4,0
336,873.27,639.5,46.43,233.77,Consumo,1197.95,6,3.3,0
337,1246.44,843.61,35.87,402.83,Comercial,10710.16,60,5.9,0
338,472.12,318.96,2.0,153.16,Consumo,2085.33,12,1.4,1
339,570.16,385.71,54.71,184.45,Consumo,1611.66,12,2.8,0
340,619.77,190.94,25.36,428.83,Vivienda,11469.79,60,2.7,0
341,863.49,351.78,41.24,511.71,Comercial,9884.71,60,4.4,0
342,1456.58,824.57,50.87,632.01,Comercial,13706.27,60,2.1,0
343,410.71,173.82,53.0,236.89,Microcrédito,1789.91,18,5.8,0
344,1153.85,427.98,12.65,725.87,Consumo,4670.33,24,2.9,0
345,1231.48,688.89,55.54,542.59,Microcrédito,8435.65,12,1.2,1
346,1387.89,742.5,44.41,645.39,Microcrédito,9320.47,24,1.1,1
347,427.73,366.81,45.22,60.92,Microcrédito,729.02,12,5.5,0
348,1431.37,426.15,40.19,1005.22,Microcrédito,9418.07,36,9.2,0
349,840.7,376.76,48.01,463.94,Vivienda,18888.77,180,3.6,0
350,1462.06,565.56,15.65,896.5,Consumo,6162.43,6,3.9,0
351,1143.49,694.95,53.03,448.54,Microcrédito,3444.73,18,4.0,0
352,1124.69,541.69,30.7,583.0,Vivienda,32604.59,180,9.5,1
353,658.41,546.82,17.32,111.59,Consumo,1865.47,48,0.4,0
354,1188.46,509.11,39.21,679.35,Microcrédito,2312.09,24,14.4,0
355,869.44,522.3,16.12,347.14,Vivienda,21298.84,60,7.0,0
356,414.35,239.31,53.45,175.04,Microcrédito,1419.38,18,4.9,0
357,1125.07,945.31,55.29,179.76,Microcrédito,3798.18,36,2.1,1
358,1856.58,1049.9,18.01,806.68,Consumo,5912.59,36,1.4,0
359,669.5,384.23,31.22,285.27,Consumo,1722.08,24,3.2,0
360,1294.28,1079.97,69.07,214.31,Vivienda,37989.36,180,4.2,1
361,1125.96,582.48,23.12,543.48,Vivienda,12093.88,84,8.1,0
362,1188.67,698.35,46.63,490.32,Microcrédito,5395.58,18,3.4,0
363,419.6,239.77,57.16,179.83,Consumo,1841.42,12,7.6,0
364,1500.57,1120.23,31.66,380.34,Vivienda,28614.11,60,2.9,0
365,1163.73,780.11,48.08,383.62,Microcrédito,4599.2,12,5.2,0
366,1534.48,548.63,20.25,985.85,Microcrédito,3229.12,36,0.7,0
367,463.48,218.59,12.33,244.89,Consumo,1811.67,12,7.8,0
368,627.56,390.91,8.42,236.65,Microcrédito,3507.94,24,2.7,0
369,1225.92,787.59,31.19,438.33,Consumo,1232.38,18,0.7,0
370,787.12,461.89,58.16,325.23,Microcrédito,1991.6,24,1.0,0
